Country,Year,Literacy Rate (%),Life Expectancy (years),Healthcare Spending (% GDP),School Enrollment (%),Gender Equality Index,GDP per Capita (USD)
Country D,2006,76.47863403563375,66.84881282831046,13.488873295859058,99.16156026816994,0.7510188792622878,47251.68310727993
Country C,2019,70.04410675639552,70.518262080198,8.995062484775861,82.3288234875678,0.5245997874111933,44605.25854830225
Country D,2014,64.86966660309949,80.17040809479406,14.928918435178527,79.48952422862126,0.40933249204801325,29771.631468091244
Country A,2010,84.0862425206171,76.88036602989318,5.519437526562472,85.75589439657784,0.615875474844235,37580.0199797312
Country C,2007,60.38952323523769,66.08080211834917,12.886322200641906,71.94959776143935,0.7883452171749,36343.84473323436
Country A,2020,89.94742810358531,74.60298062507887,9.338365240273626,95.51352020720888,0.43163819675433457,40345.26711308878
Country D,2006,90.15185803837359,72.30732723695138,9.333051445875853,83.80831405634038,0.5145199594828287,12213.637375546105
Country D,2018,70.76307187864103,58.781578268572204,6.701337981453427,75.35006234307936,0.5878012707739989,1106.7272866383184
Country B,2022,64.17740054548239,62.04576078995802,10.148799199722609,74.85203288349737,0.7321920441376586,25985.08017191731
Country A,2010,64.19390907953566,65.23366938142944,5.847184968800852,80.82863061216257,0.5075580590803875,38511.991966948175
Country A,2010,74.1145661998105,60.864502190905085,11.165771790003774,87.20088439929523,0.53747410072321,7130.998691273403
Country E,2023,85.97896123746793,59.50401537490077,7.415904408538872,82.50717573817225,0.5537979897472539,27106.574518297377
Country E,2020,67.94343454969294,56.74593310390861,12.2485804576937,87.9039201523174,0.5518536502991697,16406.040221093648
Country E,2003,80.50216727288758,81.1930769682679,11.073615182565728,91.16433234702242,0.48013809978315386,42073.77164342664
Country E,2007,69.12422302912972,63.66830253894561,12.464050087514458,92.45466287020858,0.7662663526525015,5912.446955927076
Country A,2023,65.22615945756917,63.709618118006986,12.497420702342112,82.0286667878279,0.7171641202720923,42546.808070909174
Country B,2002,51.24297579578971,61.18684412290466,6.9670904522044115,91.5100993467129,0.7902571118479935,30927.59297256546
Country E,2021,50.19570528676953,69.2619211559165,5.006747294865961,74.2451305962623,0.5483974973663356,46052.78944820619
Country A,2020,61.36038389160022,70.42725903767118,8.657612593927375,85.3928860085041,0.41811811932571935,46845.70729448169
Country B,2001,70.32031434004978,61.2484407587524,14.19069215796509,72.17544150579906,0.44620043431211276,40634.99169893134
Country B,2023,92.56305836810301,73.25711013590951,10.778993846358343,77.32316890888792,0.5429934494839485,26975.397582516598
Country E,2011,89.92421214652127,76.68999878781247,12.275020056250169,87.49560068499542,0.7644256408224332,7985.390739705419
Country A,2005,63.3582631293995,66.21520257896356,13.79570337523553,92.21262056625761,0.792433893707017,12045.769978543629
Country C,2001,62.22702214921497,72.56355090572316,14.060582477246971,72.85928090166857,0.7287988424514146,21469.84155817886
Country A,2020,61.366103553501375,70.06905715493339,10.290251573094272,76.2120954022173,0.495370188791475,36722.0493763212
Country B,2000,66.96186702644334,60.866451950683064,10.40942084912055,99.75694643587195,0.6638797726409944,27697.85758250469
Country D,2011,74.90993597808426,76.90032966323733,13.509388412331164,80.12972930311854,0.6386429115214289,22476.802849140455
