Country,Year,CO2 Emissions (Metric Tons),Renewable Energy (% of Total),Forest Area (% Land Area),Energy Intensity (MJ per GDP),Air Quality Index (AQI),Recycling Rate (%)
Country D,2006,55309.40466770411,21.848812828310464,62.44436647929529,487.42340402254905,135.30566377868635,85.5129520118856
Country C,2019,43083.80283715149,25.518262080197996,39.9753124238793,234.93235231351716,67.37993622335799,81.19225885437102
Country D,2014,33252.36654588902,35.170408094794055,69.64459217589263,192.3428634293189,32.79974761440396,56.97409219280203
Country A,2010,69763.8607891725,31.88036602989318,22.597187632812357,286.3384159486676,94.76264245327049,69.72248159956115
Country C,2007,24740.09414695161,21.08080211834917,59.43161100320954,79.24396642159029,146.50356515247,67.70423629915813
Country A,2020,80900.11339681207,29.602980625078867,41.69182620136813,432.70280310813325,39.49145902630037,74.23717079687964
Country D,2006,81288.53027290982,27.30732723695138,41.66525722937927,257.12471084510577,64.35598784484858,28.3079793886467
Country D,2018,44449.83656941795,13.781578268572208,28.506689907267134,130.25093514619044,86.34038123219966,10.174248631246234
Country B,2022,31937.061036416526,17.045760789958017,45.743995998613045,122.7804932524605,129.65761324129758,50.791967627620096
Country A,2010,31968.427251117755,20.23366938142943,24.235924844004263,212.42945918243848,62.26741772411624,71.24406851746642
Country A,2010,50817.67577963996,15.864502190905087,50.82885895001887,308.01326598942836,71.24223021696298,20.00979378167086
Country E,2023,73360.02635118908,14.504015374900767,32.079522042694364,237.6076360725838,76.13939692417615,52.622978805383475
Country E,2020,39092.525644416586,11.74593310390861,56.24290228846851,318.558802284761,75.55609508975087,35.15271872831616
Country E,2003,62954.1178184864,36.1930769682679,50.36807591282863,367.46498520533646,54.04142993494615,77.05921900967616
Country E,2007,41336.02375534646,18.66830253894561,57.32025043757229,386.81994305312867,139.87990579575043,18.020321560697266
Country A,2023,33929.70296938141,18.709618118006986,57.487103511710565,230.43000181741849,125.14923608162768,77.83152338107621
Country B,2002,7361.654012000445,16.186844122904663,29.83545226102206,372.6514902006936,147.07713355439805,58.861376281739524
Country E,2021,5371.8400448621105,24.26192115591649,20.033736474329803,113.67695894393461,74.51924920990066,83.55557460931622
Country A,2020,26584.729394040423,25.42725903767117,38.28806296963688,280.89329012756156,35.435435797715805,84.85013435833746
Country B,2001,43608.59724609457,16.248440758752402,65.95346078982544,82.63162258698576,43.86013029363382,74.71019052886749
Country B,2023,85869.81089939573,28.257110135909517,48.89496923179171,159.8475336333188,72.89803484518453,52.40881237961894
Country E,2011,80856.00307839041,31.68999878781247,56.375100281250845,312.4340102749314,139.32769224672995,21.404719575029254
Country A,2005,30380.69994585904,21.215202578963556,63.97851687617765,383.18930849386413,147.7301681121051,28.03391016905082
Country C,2001,28231.342083508436,27.56355090572316,65.30291238623485,92.88921352502851,128.63965273542436,43.420149482740996
Country A,2020,26595.596751652607,25.06905715493339,46.45125786547136,143.18143103325957,58.611056637442495,68.32171326746318
Country B,2000,37227.54735024237,15.866451950683064,47.04710424560275,496.35419653807924,109.16393179229831,53.58833891021174
Country D,2011,52328.87835836011,31.900329663237336,62.54694206165582,201.945939546778,101.59287345642868,45.06416791696401
Country E,2021,46673.43834299967,34.04359083472142,60.37427176450068,177.8183451796907,128.79028288981505,48.20274891033896
Country B,2011,25735.953884241906,29.463793467615027,54.94292999527227,88.36569118054223,91.16992225110363,69.31892547091974
Country C,2016,17392.883944643712,19.71688083313154,50.22321470581532,362.67924440138955,68.17558397960195,12.748514773770792
Country C,2009,6194.892186188561,37.80377483227903,50.860755128928005,278.7140229896463,32.31331330103555,45.410474961886
Country C,2015,19626.507673317865,23.66075163985373,38.14556723116925,120.8978950324304,125.40314329436065,55.816252461533935
Country C,2014,72008.85516844124,17.976354561552935,62.04588737008456,334.80420511748326,93.62979947947615,57.0970689169826
Country A,2014,28145.664087830377,22.247038624658693,50.88898525436304,286.59216081248167,94.10248531315703,59.49496837848214
Country B,2018,49517.171961543434,30.762252757246294,31.17640311207655,304.22538412965025,144.84747967800507,14.275951629243249
Country C,2011,61173.609147708245,35.377953569777475,31.992163925476916,497.68466250638704,88.34729553247689,54.635832738433294
Country B,2022,89249.88576900268,20.697264978486178,63.080150688661476,62.87572757380872,67.89615993606282,54.04395218335124
Country B,2019,89441.23434737485,16.97873338028124,51.28537728182944,461.737472425871,70.7805561042957,78.38830817461111
Country D,2002,75844.7046997291,28.794793955056146,39.935206421396586,428.8508427120369,31.4096274267756,70.80616708437489
Country A,2004,8339.914244607635,37.636453003188564,29.355037961764378,236.90427109707082,44.682124041416984,12.498133341035098
Country D,2018,59631.68981311441,15.498800906782648,50.510798662260086,446.4258591372632,35.2570515929768,54.47322912127552
Country E,2006,79725.42972899311,34.090581468981,29.215519000975252,341.8525590677821,59.19121878953191,65.27552815338942
