Country,Year,R&D Expenditure (% of GDP),Internet Penetration (%),Patent Filings,STEM Graduates (per 100k),High-Tech Exports (% GDP),Innovation Index Score
Country C,2016,3.0870911262402356,60.620250204448006,3368,1151,18.716869703036814,75.33020644971089
Country D,2013,3.3485618709729263,54.69001322048793,6789,1143,29.400729224829316,66.76738840308283
Country E,2022,0.9412204427871138,51.158290716270486,1436,354,11.77023700347689,71.76616733541604
Country D,2020,3.279762875484483,81.45660352172004,3828,380,27.45265684396881,49.824348347810556
Country E,2017,1.9763488792386146,79.74760776835026,2556,414,14.09398482791048,50.587293102620976
Country A,2022,1.2747331648968752,76.78817322298943,8570,287,36.013013808473076,42.07486627549532
Country B,2014,1.877407268714784,61.3654077096828,8480,455,36.349148049331575,56.103376759786485
Country D,2016,3.440097725856431,69.15439379937021,1182,710,15.405052149846426,67.98723306668374
Country D,2019,1.9778542819786087,79.12934042412247,8190,272,13.049781388713418,82.89674569986644
Country B,2012,1.4862548308625247,74.3415760840993,7687,1130,19.395639022318093,73.34637237293404
Country D,2016,2.4002025629501773,98.40149049052948,6565,378,13.418605481305205,61.76981616998757
Country D,2020,1.220436856334579,56.68554787527992,8241,411,28.533434515209628,87.65600571970688
Country E,2020,0.7275899843259918,84.06208314833209,8651,1004,33.91226395918999,75.96226002879159
Country E,2017,0.8866391657319477,69.81161963711031,6575,433,28.558224581892595,86.5082601431275
Country B,2014,0.8841375168733173,70.98178113135512,2589,664,33.85226565372723,66.37939866360828
Country A,2013,0.955708080536883,85.16229051725063,9851,950,18.894725677261594,52.94521373965698
Country D,2017,0.9164815179482304,83.92937141489412,1159,422,10.471093974810131,42.6413343182361
Country A,2017,2.4226242344096436,98.57154369140723,7555,830,30.828283158915724,76.30424257419253
Country B,2012,1.0456402531974345,56.29132018325214,9244,1024,17.616607679954384,46.06514990027671
Country B,2015,1.5370018499715896,55.10137281982415,7846,463,28.49447888301964,55.13875641359836
Country E,2014,3.1903652297180356,85.49260203930831,3307,406,14.472537969361799,66.62354539419488
Country D,2011,1.921884920788617,78.34095893331404,2228,806,7.843037218233544,68.22082938898738
Country C,2017,2.5026732155630818,63.433872661430485,8226,1084,39.74036284207172,70.0291598493568
Country B,2021,1.0169596136048895,53.891549080460344,6590,933,10.467052777570974,48.31276651748503
Country D,2023,1.0768670564260123,54.1972542302251,7919,565,39.59473478872184,58.98687024108244
Country A,2015,0.6226058487994366,93.81535285854179,6585,475,39.20479763982566,70.85971135584833
Country E,2011,1.0068051892164935,59.401498911218404,7046,579,32.78363363678139,88.49094323168924
Country A,2021,1.3357710170958759,65.84520654366051,5945,942,28.079803672869915,76.38155688498443
Country B,2014,1.0310314528302404,61.10616370912241,8927,508,25.223246758787965,86.1301878546979
Country B,2010,0.7661076012711668,67.39481898576493,8016,830,35.313554088224215,78.11060291570885
Country A,2021,0.8619076133018024,53.40176829455857,8758,467,15.130383256682078,69.58584844462003
Country B,2019,1.8823363040981773,75.43392975450524,6086,1144,21.368842436970695,49.60116845681723
Country D,2015,1.1190011552173775,53.31301561601853,8161,984,26.678648927827567,73.33428259462565
Country B,2022,1.5928095831442264,89.21746888329571,2884,263,19.39166665543219,71.16897829799535
Country E,2021,2.0102518125645705,61.451892013611214,2809,1009,19.962025893159378,70.12345852286333
Country D,2018,2.5711844858880957,76.46058381562102,4167,549,16.559963362572955,64.48929339941203
Country C,2010,0.6179364195232968,93.12387529051145,7352,1124,24.748113583958762,66.43283019946378
Country B,2020,2.898231196727128,81.89299108331252,7056,1114,34.77010848052906,56.7221263559052
Country B,2020,2.383701168472723,76.11493154101544,3437,693,12.05349323022095,65.96563463211515
Country E,2019,0.7452770958466157,65.89235390265341,7468,722,37.70515635637045,49.877795283923916
Country E,2021,3.120735872320332,66.3170937398517,6951,297,29.11806788118804,80.25871986801883
Country A,2021,3.2626172015954396,82.80486080471132,6276,1145,33.81456244380105,49.28884773493539
Country A,2023,0.6832338795645913,98.71282869983722,9859,270,24.466674242050406,44.24831449447332
Country A,2023,1.3306329444416112,82.43012030261954,8818,563,32.28308454984222,61.81230131785787
Country E,2023,2.918603839379184,77.33138745113122,5728,769,5.5670139068813524,72.91537197530309
Country A,2012,2.744779071150975,85.80187500172306,3624,1001,33.643314867283735,61.88584124667707
Country A,2021,1.053563058069132,72.79507500190219,6738,962,6.404860067987828,53.83770659756543
Country C,2016,1.128047970010131,52.94697478743848,5232,475,36.146968172700184,67.90855919452204
Country A,2013,1.611416308374146,77.55254397801758,6793,249,39.71869615335252,57.35011677061
Country B,2018,1.953568955573064,96.92363894076362,5523,557,15.292361176187224,86.64338450633166
Country E,2012,2.354764314590888,58.58984417552532,6571,927,12.361149470002779,86.1322569801786
Country D,2014,1.6067409187093173,83.81023965021262,3224,1105,31.787717735031425,65.11859099860477
Country C,2012,1.8876041483994437,59.84575074429377,9389,1127,13.855921932208863,56.39419970091292
Country E,2016,2.74241281440127,76.25555653918099,7091,763,35.29468341102712,76.85662069783196
Country E,2014,0.6100496086717937,54.73714603268926,9662,982,8.599490725511686,41.83564717415333
Country B,2018,1.2573108330320624,72.06817587665107,7361,684,9.40843187327754,63.738450302182564
Country A,2016,2.6400487576536573,87.05200311586705,2948,283,39.27030442852155,56.81616971351667
Country B,2011,3.1856205130615978,67.03100468771012,8094,1098,28.584361439450163,86.02679425512773
Country A,2013,2.0350323263469985,82.58067449987368,7318,1004,34.64105285501335,40.600151363634126
Country A,2018,2.096340455795947,88.97704807869673,4796,837,16.351528207303133,67.64074378591745
Country E,2021,0.8215160340193282,95.43171315449318,1234,1007,28.676931233221154,77.03317905333131
Country A,2023,1.842237100470364,61.497462010917225,4607,783,25.7984639558009,64.25089937620206
Country C,2011,2.0978517993650696,69.5664798746561,9043,495,26.110254204303146,44.27015150813608
Country C,2019,1.227411510904189,57.468384653190455,1522,435,28.888636083820256,88.62306950139511
Country C,2018,1.307729692848143,98.63169160576038,6904,255,25.13757105951845,65.90052156880489
Country E,2019,1.631852489313868,95.42304742829047,5888,1118,20.01718292559331,70.70931221595058
Country B,2014,0.5602135933331791,76.45789938374742,6832,559,14.657294303319139,51.830489135375366
Country D,2011,1.4662374967495349,91.25963142444465,8122,1106,31.900346581962072,64.1749042553402
Country A,2013,1.134344020989634,75.52694088633007,6842,309,12.919535050111516,61.45747459791609
Country D,2021,1.482492056533744,80.55569871213523,2316,391,29.232400715404495,43.74479210009919
Country B,2021,0.8592863954577536,54.36709717368481,2124,1103,13.166648792726432,45.308017677373364
